package-registry_1  | 2021/09/08 14:07:34 Package registry started.
package-registry_1  | 2021/09/08 14:07:34 Packages paths: /packages/development, /packages/production, /packages/staging, /packages/snapshot
package-registry_1  | 2021/09/08 14:07:34 Cache time for /search:  10m0s
package-registry_1  | 2021/09/08 14:07:34 Cache time for /categories:  10m0s
package-registry_1  | 2021/09/08 14:07:34 Cache time for all others:  10m0s
package-registry_1  | 2021/09/08 14:07:34 Packages in /packages/development:
package-registry_1  | 2021/09/08 14:07:34 Packages in /packages/production:
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.1.3	/packages/production/apache/0.1.3
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.1.4	/packages/production/apache/0.1.4
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.2.6	/packages/production/apache/0.2.6
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.3.0	/packages/production/apache/0.3.0
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.3.3	/packages/production/apache/0.3.3
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.3.4	/packages/production/apache/0.3.4
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.4.0	/packages/production/apache/0.4.0
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.5.0	/packages/production/apache/0.5.0
package-registry_1  | 2021/09/08 14:07:34 apache              	     0.8.1	/packages/production/apache/0.8.1
package-registry_1  | 2021/09/08 14:07:34 apm                 	     0.1.0	/packages/production/apm/0.1.0
package-registry_1  | 2021/09/08 14:07:34 apm                 	     0.2.0	/packages/production/apm/0.2.0
package-registry_1  | 2021/09/08 14:07:34 apm                 	     0.3.0	/packages/production/apm/0.3.0
package-registry_1  | 2021/09/08 14:07:34 auditd              	     0.0.1	/packages/production/auditd/0.0.1
package-registry_1  | 2021/09/08 14:07:34 auditd              	     0.1.0	/packages/production/auditd/0.1.0
package-registry_1  | 2021/09/08 14:07:34 auditd              	     0.1.1	/packages/production/auditd/0.1.1
package-registry_1  | 2021/09/08 14:07:34 auditd              	     1.0.0	/packages/production/auditd/1.0.0
package-registry_1  | 2021/09/08 14:07:34 aws                 	    0.10.4	/packages/production/aws/0.10.4
package-registry_1  | 2021/09/08 14:07:34 aws                 	     0.2.3	/packages/production/aws/0.2.3
package-registry_1  | 2021/09/08 14:07:34 aws                 	     0.2.4	/packages/production/aws/0.2.4
package-registry_1  | 2021/09/08 14:07:34 aws                 	    0.3.12	/packages/production/aws/0.3.12
package-registry_1  | 2021/09/08 14:07:34 aws                 	     0.5.0	/packages/production/aws/0.5.0
package-registry_1  | 2021/09/08 14:07:34 aws                 	     0.5.6	/packages/production/aws/0.5.6
package-registry_1  | 2021/09/08 14:07:34 aws                 	     0.6.1	/packages/production/aws/0.6.1
package-registry_1  | 2021/09/08 14:07:34 aws                 	     0.8.0	/packages/production/aws/0.8.0
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.0.2	/packages/production/azure/0.0.2
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.1.2	/packages/production/azure/0.1.2
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.1.5	/packages/production/azure/0.1.5
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.1.7	/packages/production/azure/0.1.7
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.4.0	/packages/production/azure/0.4.0
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.8.2	/packages/production/azure/0.8.2
package-registry_1  | 2021/09/08 14:07:34 azure               	     0.8.5	/packages/production/azure/0.8.5
package-registry_1  | 2021/09/08 14:07:34 azure_application_insights	     0.1.0	/packages/production/azure_application_insights/0.1.0
